0,1,2,3,4,5,6,7,8,9,10,11,12
0.552872278318485,0.5975963381249598,0.6172250918342371,0.6412882199878073,0.6449488131627757,0.6507775021419903,0.6539000959313165,0.6553540346567389,0.6561663502685624,0.6566214393158689,0.6568768075803337,0.6570202375199442,0.6571008388076679
0.5334400653927747,0.5703495335477803,0.5899372888834953,0.6253323872733295,0.6281915216149815,0.6297981613518169,0.6306994557524197,0.6312051263836227,0.6314890114438287,0.6316484800604826,0.6317380973945393,0.6317884736631477,0.6318167960880636
0.5255118359519095,0.5740221476343377,0.5809381205136251,0.6060020640949305,0.6092905432266705,0.6111580390764614,0.6122137736026636,0.6128091408018455,0.6131444530792061,0.6133331707751504,0.6134393435374608,0.6134990641978246,0.6135326524092987
0.4908810803807711,0.5409081201208827,0.5779436353739942,0.587211628711544,0.5873688841987448,0.588275187714541,0.5894704458043728,0.5901468971770149,0.5905287147197535,0.590743887216031,0.5908650354156574,0.5909332091854133,0.5909715610875336
0.4692979455776391,0.5061961996878768,0.5321794102673517,0.5663896670419128,0.5927306722016882,0.6023935312420633,0.5895628112286992,0.6126695030260135,0.5902938357489773,0.6157700419519412,0.6163883854258357,0.6167347187337556,0.6169290356874114
0.495415037541427,0.4925581189129092,0.5159532290799759,0.5354418452865833,0.5409547510627839,0.546672285572263,0.5483329144380168,0.5519648372866489,0.5552057929184843,0.5504392415338669,0.5580485411027029,0.5584415203371185,0.5585383127859007
0.5028144323392224,0.5144025079618583,0.5242371517595826,0.5531366717210614,0.5561356967317188,0.5577638923490983,0.5586496757048007,0.559135655858964,0.5594045348030963,0.5596863302193049,0.5599841086868967,0.5601515618410533,0.5602457272781973
0.5206347644771797,0.5315184521953265,0.5376091057235827,0.5525971739656198,0.5545013780478192,0.5592422800474495,0.5690534041278558,0.5697551944923378,0.5701500005657215,0.5703720260011825,0.5704968753346604,0.5705670803335113,0.5706065583138084
0.5260249554183641,0.5388551016142527,0.5441273654466812,0.558111975505099,0.5747179165005833,0.577157139947176,0.5785497682596341,0.60535693416586,0.6052999095725559,0.6189370116480275,0.6190465793738107,0.6191082540341606,0.6191429554123679
0.5211146759612281,0.5323847573131785,0.5651825330767367,0.5685886406709788,0.5785801976823307,0.6059014742096944,0.6081544748134894,0.6080115648395114,0.6079240114690353,0.6078723827245153,0.6078425700977825,0.6078255545223029,0.6078159059291809
0.5138197535114012,0.5398574322411603,0.5720783974327752,0.5772657607776909,0.5876855229402335,0.5955300366433698,0.6065832265665884,0.6070016341295446,0.6072353883035663,0.607366330958797,0.6074398010050812,0.6074810635049422,0.607504250299618
0.5062660120601862,0.562377737437458,0.5768558571134256,0.5843150910997172,0.5870641702736505,0.5896280447019001,0.5976838883953567,0.6016000466266187,0.6036701976697069,0.6038108347937262,0.6038898394952804,0.6039342408685929,0.6039592012074528
0.5007189319761473,0.5504455843315176,0.5717392946937693,0.5904933154050096,0.6074919364384475,0.6159007067691734,0.619757618704195,0.6219130607817351,0.6231196684679463,0.6237961365103435,0.6241758197369006,0.624389088111309,0.6245089380146692
0.5028926345743316,0.5466219451749418,0.5665309967580455,0.5935170100723874,0.6068449707801773,0.6126070933805096,0.6160255290293704,0.618009975134578,0.6191465349202424,0.6197923406188409,0.6201576353798359,0.620363733026705,0.6204798449368361
0.506092293555379,0.5366435700041723,0.5825802741654013,0.5915939851432349,0.6155625367819821,0.6158652735848126,0.6160053978750708,0.6160715900058208,0.6161039035162235,0.6161202917082224,0.6161288931293359,0.6161335256453543,0.6161360641207467
0.5104450211050249,0.5574457226498405,0.5854810773618975,0.5894226040145875,0.6094920743122944,0.6096587638412904,0.6097145809402346,0.6097316780726341,0.6097361605112482,0.6097369125555464,0.6097367449381759,0.6097364577220877,0.6097362340085826
0.5174829568820536,0.5614796611246432,0.5831202707503141,0.5870256915109912,0.6031036190838296,0.6031028841382319,0.6129153860957579,0.6190815225781565,0.6226101356730379,0.624613308017012,0.6257456533747243,0.6263842587421865,0.6267439516300959
0.5219791118145802,0.5649312416755589,0.5805957790577635,0.5844253020256922,0.6082550507043385,0.6239888121688498,0.6269839807352688,0.6288470998367114,0.629960155447856,0.6306085512834024,0.6309806301103669,0.6311922895100688,0.631312092831664
0.5259472292696805,0.5678738853954997,0.5779252623973106,0.5904884861778477,0.6182778102165258,0.6233268655871722,0.6257870874592225,0.6265777027850109,0.6270318116592669,0.62729039075305,0.6274368578323531,0.627519564384988,0.6275661832825831
