statistic,python,r,abs_diff
FF3 Alpha,1.022739903333446,1.02273990333394,4.938272013532696e-13
FF5 Alpha,1.0304327293347022,1.03043272933521,5.078160114635466e-13
XSF Alpha,1.03079166046307,1.03079166046355,4.800604358479177e-13
FF11 Alpha,1.0474486321957257,1.04744863219648,7.542855229303314e-13
FF3 SE,0.1032792206810976,0.103279220681706,6.084022174945858e-13
FF5 SE,0.1069019149835783,0.106901914984223,6.446926326120206e-13
XSF SE,0.1062843250072855,0.106284325007926,6.405015406940606e-13
FF11 SE,0.1137131500323872,0.113713150033076,6.887962422652549e-13
FF3 T-Stat,9.902668674189853,9.90266867413635,5.3502091645896144e-11
FF5 T-Stat,9.639048369647924,9.6390483695946,5.332445596195612e-11
XSF T-Stat,9.69843540326771,9.69843540321381,5.38999955779218e-11
FF11 T-Stat,9.211323685056618,9.21132368500742,4.919797902402934e-11
FF3 P-val,6.084931234349372e-20,6.08493123674261e-20,2.39323878979957e-29
FF5 P-val,4.347589003002982e-19,4.347589004682861e-19,1.6798789124821558e-28
XSF P-val,2.767613314099344e-19,2.76761331518445e-19,1.0851060048191981e-28
FF11 P-val,1.0385757389776429e-17,1.03857573933793e-17,3.602871043332223e-27
