variant,train_SR,valid_SR,test_SR,total_firms_per_port,meaningful_firms_per_port,comment
baseline (hard split),0.858942875841473,1.2060391657012284,0.6855538543613559,381.09155,381.09155,each firm in exactly one leaf
fuzzy α=50 (no pruning),0.9110739125205356,1.2406147825254414,0.7034717849506137,4011.49,876.5217610062891,all 4011 firms contribute (most microscopically)
"fuzzy α=50, dt=0.1% prune",0.9113591272456744,1.2405835527033884,0.7034219006099126,910.83465408805,910.83465408805,dead tail (w<0.001) zeroed before VW return
"fuzzy α=50, dt=0.5% prune",0.9112786815769992,1.236520827627758,0.7036265996038229,756.7898113207547,756.7898113207547,dead tail (w<0.005) zeroed before VW return
"fuzzy α=50, dt=1% prune",0.8550587124511918,1.2386733666274328,0.7234373564449768,705.1676100628931,705.1676100628931,dead tail (w<0.01) zeroed before VW return
"fuzzy α=50, dt=2% prune",0.9097970692151148,1.2356146996327824,0.7065137536832685,655.2008176100629,655.2008176100629,dead tail (w<0.02) zeroed before VW return
"fuzzy α=50, dt=5% prune",0.9134025781120768,1.236909469282249,0.7014497213788683,589.4699371069182,589.4699371069182,dead tail (w<0.05) zeroed before VW return
"fuzzy α=50, dt=7.5% prune",0.8657254036360734,1.2398037427544035,0.7223829298441075,569.7646540880503,569.7646540880503,dead tail (w<0.075) zeroed before VW return
"fuzzy α=50, dt=10% prune",0.8328079063760916,1.22550268365009,0.7306433294582181,471.0503773584906,471.0503773584906,dead tail (w<0.1) zeroed before VW return
"fuzzy α=50, dt=20% prune",0.896115450788355,1.2358290477135816,0.7364072641541806,483.43207547169806,483.43207547169806,dead tail (w<0.2) zeroed before VW return
